ppp_state,count,total_amount
CA,52,10344405.600000001
AK,4,1577121.0
TX,15,1365723.42
MI,8,1225096.5
NJ,6,718502.0
IN,1,585527.0
FL,12,563914.48
SC,10,479600.0
CO,7,474664.67
OR,5,405173.61
WY,6,368537.05
NY,8,316465.0
NC,7,287544.5
AZ,12,275293.47
MN,9,264412.0
NV,10,249173.0
UT,9,227687.48
RI,4,225764.0
OK,6,215175.0
IL,7,191104.5
MA,3,186270.0
DE,2,157385.87
IA,8,148800.0
ND,3,142800.0
KS,9,140038.0
WA,5,123795.0
VA,5,115416.0
NE,4,107777.0
MO,4,96496.0
OH,5,90789.5
KY,2,77700.0
ME,2,65800.0
GA,3,62957.0
MD,2,59202.0
AL,3,54380.0
AR,1,48800.0
WV,1,46500.0
LA,2,38652.0
SD,2,34436.5
CT,3,29400.0
PA,1,28067.0
PR,2,27900.0
TN,1,19128.0
MS,2,17100.0
HI,1,12900.0
WI,1,1457.0
