numeric_id,project_id,title,status,release_date,due_date,url,document_count,documents,description
210644,012-2026 NOFA,2026 Supportive Housing Notice of Funding Availability (NOFA),Closed,2026-03-06T19:21:38.624Z,2028-01-01T00:00:34.771Z,https://procurement.opengov.com/portal/ocgov/projects/210644,0,,"2026 Supportive Housing Notice of Funding Availability OC HOUSING AND COMMUNITY DEVELOPMENT (OCHCD) announces the release of the 2026 Supportive Housing Notice of Funding Availability (NOFA) making available up to $20.9 million dollars of Federal HOME Investment Partnership Program (HOME), HOME Amer..."
219851,042-3011901-CC,Conditional Release Program (CONREP) Supplemental Rate Housing Services,Closed,2026-04-02T07:00:00.000Z,2027-04-01T23:00:01.802Z,https://procurement.opengov.com/portal/ocgov/projects/219851,0,,The County of Orange (County) Health Care Agency (HCA) is seeking applications from qualified organizations to provide Conditional Release Program (CONREP) Supplemental Rate Housing Services. The primary goal of this program is to provide housing for the justice involved Conditional Release Program ...
236806,RFA-042-3019403-II,Inpatient Behavioral Health Services,Closed,2026-03-31T07:00:00.000Z,2027-03-31T23:00:00.000Z,https://procurement.opengov.com/portal/ocgov/projects/236806,0,,"The primary goal of this program is to provide services to Medi-Cal eligible youth, adults and/or older adults, with a serious mental health condition, often a co-occurring medical/substance use disorders, or stand-alone severe substance use disorder requiring acute inpatient psychiatric treatment i..."
157396,NOFA 2025-01,2025 Supportive Housing Notice of Funding Availability,Closed,2025-03-25T20:18:10.811Z,2027-01-01T01:30:54.755Z,https://procurement.opengov.com/portal/ocgov/projects/157396,0,,"OC HOUSING AND COMMUNITY DEVELOPMENT (OCHCD) announces the release of the 2025 Supportive Housing Notice of Funding Availability (NOFA) making available up to $12.05 million dollars of Federal HOME Investment Partnership Program (HOME), HOME American Rescue Plan Program (HOME-ARP), Mental Health Ser..."
265474,080-3068001-RE,EPA PROTOCOL CALIBRATION AND AUDIT GASES,Closed,2026-06-26T07:00:00.000Z,2026-08-10T21:00:00.000Z,https://procurement.opengov.com/portal/ocgov/projects/265474,0,,"The County of Orange, Department Name , (hereinafter referred to as County) is requesting competitive bids from qualified vendors (hereinafter referred to as Bidder) for Project Title . The County has attempted to provide all information available.&nbsp; It is the responsibility of each Bidder to re..."
256190,063-3051102-AH,Child Abuse Medical Services,Closed,,,https://procurement.opengov.com/portal/ocgov/projects/256190,0,,"The County of Orange, Department Name (hereinafter referred to as &ldquo;County&rdquo;), is soliciting proposals from qualified firms (hereinafter referred to as &ldquo;Respondents&rdquo;) for Description of Services .&nbsp; Respondents must meet the minimum qualifications and requirements as set fo..."
279311,060-3093401-MB,Equipment Rental Without Operator,Closed,2026-06-26T07:00:00.000Z,2026-07-31T23:00:00.000Z,https://procurement.opengov.com/portal/ocgov/projects/279311,0,,"The County of Orange, Department Name , (hereinafter referred to as County) is requesting competitive bids from qualified vendors (hereinafter referred to as Bidder) for Project Title . The County has attempted to provide all information available.&nbsp; It is the responsibility of each Bidder to re..."
236478,280-3010603-GK,Construction Manager-at-Risk (CMAR) for Facilities Security Improvements,Closed,2026-06-30T19:38:31.686Z,2026-07-30T21:00:06.316Z,https://procurement.opengov.com/portal/ocgov/projects/236478,0,,"The County of Orange, Department Name (hereinafter referred to as &ldquo;County&rdquo;), is soliciting proposals from qualified firms (hereinafter referred to as &ldquo;Respondents&rdquo;) for Description of Services .&nbsp; Respondents must meet the minimum qualifications and requirements as set fo..."
276065,RFQ-036-3075805-JM,Progressive Design Build for New Emergency Operation Center,Closed,2026-06-30T07:00:00.000Z,2026-07-30T21:00:00.000Z,https://procurement.opengov.com/portal/ocgov/projects/276065,0,,The County of Orange (&ldquo;County&rdquo;) is soliciting Statement of Qualifications (&ldquo;SOQ&rdquo;) from qualified firms (&ldquo;Respondents&rdquo;) to provide design and construction services for Project Title . Statements of Qualifications are due before Response Submission Time on Response ...
268021,IFB-080-3075104-RN,Uninterruptible Power System (UPS) Maintenance and Repair,Closed,2026-06-29T22:19:20.365Z,2026-07-27T21:00:00.000Z,https://procurement.opengov.com/portal/ocgov/projects/268021,0,,"The County of Orange, Department Name , (hereinafter referred to as County) is requesting competitive bids from qualified vendors (hereinafter referred to as Bidder) for Project Title . The County has attempted to provide all information available.&nbsp; It is the responsibility of each Bidder to re..."
