title,project_id,status,addenda,release_date,due_date,url,department,category,description,page,scraped_at
2026 Supportive Housing Notice of Funding Availability (NOFA),012-2026 NOFA,Open,1,3/6/2026,12/31/2027,https://procurement.opengov.com/portal/ocgov?departmentId=all&status=all&page=1&limit=50&sortField=proposalDeadline&sortDirection=DESC&__cf_chl_f_tk=ItQrIMuG2ny515CTWzVrWu2gMwqcyO.bE7ZnRTp8w2M-1782880299-1.0.1.1-QYzC8rmiME6Btb117hoN0lYHjAUJrv0KIVFeKJBx12k#,,,,1,2026-06-30T21:33:19.797592
Conditional Release Program (CONREP) Supplemental Rate Housing Services,042-3011901-CC,Open,0,4/2/2026,4/1/2027,https://procurement.opengov.com/portal/ocgov?departmentId=all&status=all&page=1&limit=50&sortField=proposalDeadline&sortDirection=DESC&__cf_chl_f_tk=ItQrIMuG2ny515CTWzVrWu2gMwqcyO.bE7ZnRTp8w2M-1782880299-1.0.1.1-QYzC8rmiME6Btb117hoN0lYHjAUJrv0KIVFeKJBx12k#,,,,1,2026-06-30T21:33:19.905908
Inpatient Behavioral Health Services,RFA-042-3019403-II,Open,1,3/31/2026,3/31/2027,https://procurement.opengov.com/portal/ocgov?departmentId=all&status=all&page=1&limit=50&sortField=proposalDeadline&sortDirection=DESC&__cf_chl_f_tk=ItQrIMuG2ny515CTWzVrWu2gMwqcyO.bE7ZnRTp8w2M-1782880299-1.0.1.1-QYzC8rmiME6Btb117hoN0lYHjAUJrv0KIVFeKJBx12k#,,,,1,2026-06-30T21:33:19.985251
2025 Supportive Housing Notice of Funding Availability,NOFA 2025-01,Open,0,3/25/2025,12/31/2026,https://procurement.opengov.com/portal/ocgov?departmentId=all&status=all&page=1&limit=50&sortField=proposalDeadline&sortDirection=DESC&__cf_chl_f_tk=ItQrIMuG2ny515CTWzVrWu2gMwqcyO.bE7ZnRTp8w2M-1782880299-1.0.1.1-QYzC8rmiME6Btb117hoN0lYHjAUJrv0KIVFeKJBx12k#,,,,1,2026-06-30T21:33:20.059976
EPA PROTOCOL CALIBRATION AND AUDIT GASES,080-3068001-RE,Open,0,6/26/2026,8/10/2026,https://procurement.opengov.com/portal/ocgov?departmentId=all&status=all&page=1&limit=50&sortField=proposalDeadline&sortDirection=DESC&__cf_chl_f_tk=ItQrIMuG2ny515CTWzVrWu2gMwqcyO.bE7ZnRTp8w2M-1782880299-1.0.1.1-QYzC8rmiME6Btb117hoN0lYHjAUJrv0KIVFeKJBx12k#,,,,1,2026-06-30T21:33:20.131791
Child Abuse Medical Services,063-3051102-AH,Coming Soon,-,-,-,https://procurement.opengov.com/portal/ocgov?departmentId=all&status=all&page=1&limit=50&sortField=proposalDeadline&sortDirection=DESC&__cf_chl_f_tk=ItQrIMuG2ny515CTWzVrWu2gMwqcyO.bE7ZnRTp8w2M-1782880299-1.0.1.1-QYzC8rmiME6Btb117hoN0lYHjAUJrv0KIVFeKJBx12k#,,,,1,2026-06-30T21:33:20.203827
Equipment Rental Without Operator,060-3093401-MB,Open,0,6/26/2026,7/31/2026,https://procurement.opengov.com/portal/ocgov?departmentId=all&status=all&page=1&limit=50&sortField=proposalDeadline&sortDirection=DESC&__cf_chl_f_tk=ItQrIMuG2ny515CTWzVrWu2gMwqcyO.bE7ZnRTp8w2M-1782880299-1.0.1.1-QYzC8rmiME6Btb117hoN0lYHjAUJrv0KIVFeKJBx12k#,,,,1,2026-06-30T21:33:20.275833
Construction Manager-at-Risk (CMAR) for Facilities Security Improvements,280-3010603-GK,Open,0,6/30/2026,7/30/2026,https://procurement.opengov.com/portal/ocgov?departmentId=all&status=all&page=1&limit=50&sortField=proposalDeadline&sortDirection=DESC&__cf_chl_f_tk=ItQrIMuG2ny515CTWzVrWu2gMwqcyO.bE7ZnRTp8w2M-1782880299-1.0.1.1-QYzC8rmiME6Btb117hoN0lYHjAUJrv0KIVFeKJBx12k#,,,,1,2026-06-30T21:33:20.351593
Progressive Design Build for New Emergency Operation Center,RFQ-036-3075805-JM,Open,0,6/30/2026,7/30/2026,https://procurement.opengov.com/portal/ocgov?departmentId=all&status=all&page=1&limit=50&sortField=proposalDeadline&sortDirection=DESC&__cf_chl_f_tk=ItQrIMuG2ny515CTWzVrWu2gMwqcyO.bE7ZnRTp8w2M-1782880299-1.0.1.1-QYzC8rmiME6Btb117hoN0lYHjAUJrv0KIVFeKJBx12k#,,,,1,2026-06-30T21:33:20.424688
Uninterruptible Power System (UPS) Maintenance and Repair,IFB-080-3075104-RN,Open,0,6/29/2026,7/27/2026,https://procurement.opengov.com/portal/ocgov?departmentId=all&status=all&page=1&limit=50&sortField=proposalDeadline&sortDirection=DESC&__cf_chl_f_tk=ItQrIMuG2ny515CTWzVrWu2gMwqcyO.bE7ZnRTp8w2M-1782880299-1.0.1.1-QYzC8rmiME6Btb117hoN0lYHjAUJrv0KIVFeKJBx12k#,,,,1,2026-06-30T21:33:20.538165
Industrial Hardware,IFB 080-3042001-GD,Open,2,6/24/2026,7/24/2026,https://procurement.opengov.com/portal/ocgov?departmentId=all&status=all&page=1&limit=50&sortField=proposalDeadline&sortDirection=DESC&__cf_chl_f_tk=ItQrIMuG2ny515CTWzVrWu2gMwqcyO.bE7ZnRTp8w2M-1782880299-1.0.1.1-QYzC8rmiME6Btb117hoN0lYHjAUJrv0KIVFeKJBx12k#,,,,1,2026-06-30T21:33:20.634728
Consulting Services for Public Safety Technology Project Management and Implementation Support Services,060-3067803-OP,Open,0,6/24/2026,7/23/2026,https://procurement.opengov.com/portal/ocgov?departmentId=all&status=all&page=1&limit=50&sortField=proposalDeadline&sortDirection=DESC&__cf_chl_f_tk=ItQrIMuG2ny515CTWzVrWu2gMwqcyO.bE7ZnRTp8w2M-1782880299-1.0.1.1-QYzC8rmiME6Btb117hoN0lYHjAUJrv0KIVFeKJBx12k#,,,,1,2026-06-30T21:33:20.706459
Traffic Marking Services,IFB-080-3019603-EL-2,Open,0,6/29/2026,7/21/2026,https://procurement.opengov.com/portal/ocgov?departmentId=all&status=all&page=1&limit=50&sortField=proposalDeadline&sortDirection=DESC&__cf_chl_f_tk=ItQrIMuG2ny515CTWzVrWu2gMwqcyO.bE7ZnRTp8w2M-1782880299-1.0.1.1-QYzC8rmiME6Btb117hoN0lYHjAUJrv0KIVFeKJBx12k#,,,,1,2026-06-30T21:33:20.783479
Emergency Generator Maintenance & Repair Services,299-3071202-WO,Open,0,6/29/2026,7/17/2026,https://procurement.opengov.com/portal/ocgov?departmentId=all&status=all&page=1&limit=50&sortField=proposalDeadline&sortDirection=DESC&__cf_chl_f_tk=ItQrIMuG2ny515CTWzVrWu2gMwqcyO.bE7ZnRTp8w2M-1782880299-1.0.1.1-QYzC8rmiME6Btb117hoN0lYHjAUJrv0KIVFeKJBx12k#,,,,1,2026-06-30T21:33:20.856102
Fencing Repair Services,060-3089802-MB,Open,0,6/25/2026,7/16/2026,https://procurement.opengov.com/portal/ocgov?departmentId=all&status=all&page=1&limit=50&sortField=proposalDeadline&sortDirection=DESC&__cf_chl_f_tk=ItQrIMuG2ny515CTWzVrWu2gMwqcyO.bE7ZnRTp8w2M-1782880299-1.0.1.1-QYzC8rmiME6Btb117hoN0lYHjAUJrv0KIVFeKJBx12k#,,,,1,2026-06-30T21:33:20.929854
Helicopter Maintenance Services,060-3080002-MB,Open,0,6/18/2026,7/16/2026,https://procurement.opengov.com/portal/ocgov?departmentId=all&status=all&page=1&limit=50&sortField=proposalDeadline&sortDirection=DESC&__cf_chl_f_tk=ItQrIMuG2ny515CTWzVrWu2gMwqcyO.bE7ZnRTp8w2M-1782880299-1.0.1.1-QYzC8rmiME6Btb117hoN0lYHjAUJrv0KIVFeKJBx12k#,,,,1,2026-06-30T21:33:21.010907
Service and Maintenance of ID Bureau Digital Imaging Equipment,060-3051501-NB,Open,0,6/5/2026,7/15/2026,https://procurement.opengov.com/portal/ocgov?departmentId=all&status=all&page=1&limit=50&sortField=proposalDeadline&sortDirection=DESC&__cf_chl_f_tk=ItQrIMuG2ny515CTWzVrWu2gMwqcyO.bE7ZnRTp8w2M-1782880299-1.0.1.1-QYzC8rmiME6Btb117hoN0lYHjAUJrv0KIVFeKJBx12k#,,,,1,2026-06-30T21:33:21.090419
"Power Generation, Distribution Engineering & Commissioning Services– A-E Task Order Contract",080-3025703-RE-A,Open,2,5/13/2026,7/15/2026,https://procurement.opengov.com/portal/ocgov?departmentId=all&status=all&page=1&limit=50&sortField=proposalDeadline&sortDirection=DESC&__cf_chl_f_tk=ItQrIMuG2ny515CTWzVrWu2gMwqcyO.bE7ZnRTp8w2M-1782880299-1.0.1.1-QYzC8rmiME6Btb117hoN0lYHjAUJrv0KIVFeKJBx12k#,,,,1,2026-06-30T21:33:21.171856
Risk-Needs Assessment System,RFP-057-3056901-DV,Open,0,6/16/2026,7/14/2026,https://procurement.opengov.com/portal/ocgov?departmentId=all&status=all&page=1&limit=50&sortField=proposalDeadline&sortDirection=DESC&__cf_chl_f_tk=ItQrIMuG2ny515CTWzVrWu2gMwqcyO.bE7ZnRTp8w2M-1782880299-1.0.1.1-QYzC8rmiME6Btb117hoN0lYHjAUJrv0KIVFeKJBx12k#,,,,1,2026-06-30T21:33:21.248517
Asphalt and Concrete Maintenance Services,012-2945401-ME-1,Open,2,6/12/2026,7/10/2026,https://procurement.opengov.com/portal/ocgov?departmentId=all&status=all&page=1&limit=50&sortField=proposalDeadline&sortDirection=DESC&__cf_chl_f_tk=ItQrIMuG2ny515CTWzVrWu2gMwqcyO.bE7ZnRTp8w2M-1782880299-1.0.1.1-QYzC8rmiME6Btb117hoN0lYHjAUJrv0KIVFeKJBx12k#,,,,1,2026-06-30T21:33:21.325906
Rental Haul Trucks with Operator,RFP-017-2966001 -JL,Open,0,6/5/2026,7/10/2026,https://procurement.opengov.com/portal/ocgov?departmentId=all&status=all&page=1&limit=50&sortField=proposalDeadline&sortDirection=DESC&__cf_chl_f_tk=ItQrIMuG2ny515CTWzVrWu2gMwqcyO.bE7ZnRTp8w2M-1782880299-1.0.1.1-QYzC8rmiME6Btb117hoN0lYHjAUJrv0KIVFeKJBx12k#,,,,1,2026-06-30T21:33:21.412707
EMERGENCY SHELTER OPERATIONS AND SERVICES,RFP-017-2968501-EA,Open,3,5/27/2026,7/8/2026,https://procurement.opengov.com/portal/ocgov?departmentId=all&status=all&page=1&limit=50&sortField=proposalDeadline&sortDirection=DESC&__cf_chl_f_tk=ItQrIMuG2ny515CTWzVrWu2gMwqcyO.bE7ZnRTp8w2M-1782880299-1.0.1.1-QYzC8rmiME6Btb117hoN0lYHjAUJrv0KIVFeKJBx12k#,,,,1,2026-06-30T21:33:21.497382
RFP-017-2841304-JC - On-Call Rapid-Build Structures for Emergency Preparedness,RFP-017-2841304-JC,Open,2,6/3/2026,7/8/2026,https://procurement.opengov.com/portal/ocgov?departmentId=all&status=all&page=1&limit=50&sortField=proposalDeadline&sortDirection=DESC&__cf_chl_f_tk=ItQrIMuG2ny515CTWzVrWu2gMwqcyO.bE7ZnRTp8w2M-1782880299-1.0.1.1-QYzC8rmiME6Btb117hoN0lYHjAUJrv0KIVFeKJBx12k#,,,,1,2026-06-30T21:33:21.575683
QVL FOR CIP PROJECT MANAGEMENT SUPPORT SERVICES - TASK ORDERS,RFQ-080-2809604-MG,Open,1,6/9/2026,7/8/2026,https://procurement.opengov.com/portal/ocgov?departmentId=all&status=all&page=1&limit=50&sortField=proposalDeadline&sortDirection=DESC&__cf_chl_f_tk=ItQrIMuG2ny515CTWzVrWu2gMwqcyO.bE7ZnRTp8w2M-1782880299-1.0.1.1-QYzC8rmiME6Btb117hoN0lYHjAUJrv0KIVFeKJBx12k#,,,,1,2026-06-30T21:33:21.665359
IFB -017-3016702-JC - Vending Machines and Services,IFB -017-3016702-JC - Vending Machines and Services,Open,1,6/3/2026,7/8/2026,https://procurement.opengov.com/portal/ocgov?departmentId=all&status=all&page=1&limit=50&sortField=proposalDeadline&sortDirection=DESC&__cf_chl_f_tk=ItQrIMuG2ny515CTWzVrWu2gMwqcyO.bE7ZnRTp8w2M-1782880299-1.0.1.1-QYzC8rmiME6Btb117hoN0lYHjAUJrv0KIVFeKJBx12k#,,,,1,2026-06-30T21:33:21.742410
Rapid Antiretroviral Therapy (ART) Protocol,042-3068503-KL,Open,0,5/26/2026,7/7/2026,https://procurement.opengov.com/portal/ocgov?departmentId=all&status=all&page=1&limit=50&sortField=proposalDeadline&sortDirection=DESC&__cf_chl_f_tk=ItQrIMuG2ny515CTWzVrWu2gMwqcyO.bE7ZnRTp8w2M-1782880299-1.0.1.1-QYzC8rmiME6Btb117hoN0lYHjAUJrv0KIVFeKJBx12k#,,,,1,2026-06-30T21:33:21.820305
