Metric,Value,Category,Last_Calculated,Status
TOTAL_ENTITIES,106,Overview,2026-09-02T17:35:16.952121+00:00,LIVE
PEOPLE_ENTITIES,0,Individuals,2026-09-02T17:35:16.952121+00:00,LIVE
GOV_AGENCIES,0,Government,2026-09-02T17:35:16.952121+00:00,LIVE
CONTRACTORS,12,Contractors,2026-09-02T17:35:16.952121+00:00,LIVE
SHELL_COMPANIES,6,Corporate,2026-09-02T17:35:16.952121+00:00,LIVE
NONPROFITS,8,Nonprofit,2026-09-02T17:35:16.952121+00:00,LIVE
EVIDENCE_ITEMS,0,Evidence,2026-09-02T17:35:16.952121+00:00,LIVE
RICO_NODES,14,RICO,2026-09-02T17:35:16.952121+00:00,LIVE
TOXIC_SITES,5,Environmental,2026-09-02T17:35:16.952121+00:00,LIVE
TIMELINE_EVENTS,6,Timeline,2026-09-02T17:35:16.952121+00:00,LIVE
TOTAL_TABS_INDEXED,40,System,2026-09-02T17:35:16.952121+00:00,VERIFIED
